week,time,mansion,floor,classroom,aiteru,post
mon,1,RY,1,101,n,
mon,1,RY,1,102,,
mon,1,RY,1,103,,
mon,1,RY,1,104,n,
mon,1,RY,1,105,n,
mon,1,RY,1,106,,
mon,1,RY,1,107,,
mon,1,RY,2,201,,
mon,1,RY,2,202,n,
mon,1,RY,2,203,n,
mon,1,RY,2,204,n,
mon,1,RY,2,205,n,
mon,1,RY,2,206,,
mon,1,RY,2,207,n,
mon,1,RY,2,208,,
mon,1,RY,2,265,,
mon,1,RY,3,301,n,
mon,1,RY,3,302,y,
mon,1,RY,3,303,,
mon,1,RY,3,304,,
mon,1,RY,3,305,,
mon,1,RY,3,306,y,
mon,1,RY,3,307,,
mon,1,RY,3,308,,
mon,1,RY,3,309,n,
mon,1,RY,3,310,,
mon,1,RY,3,311,n,
mon,1,RY,3,312,,
mon,1,RY,3,313,,
mon,1,RY,3,314,,
mon,1,RY,3,315,n,
mon,1,RY,3,316,,
mon,1,RY,3,317,,
mon,1,RY,3,318,n,
mon,1,RY,3,319,,
mon,1,RY,3,320,,
mon,1,RY,3,321,,
mon,1,RY,3,322,,
mon,1,RY,3,361,,
mon,1,RY,3,362,,
mon,1,RY,3,363,,
mon,1,RY,3,364,,
mon,1,RY,3,365,,
mon,1,RY,3,366,,
mon,1,RY,3,367,,
mon,1,RY,3,368,,
mon,1,RY,3,369,,
mon,1,RY,3,370,,
mon,1,RY,3,371,,
mon,1,RY,3,372,,
mon,1,RY,3,373,,
mon,1,RY,3,374,,
mon,1,RY,4,401,,
mon,1,RY,4,402,,
mon,1,RY,4,403,,
mon,1,RY,4,404,,
mon,1,RY,4,405,n,
mon,1,RY,4,406,n,
mon,1,RY,4,407,,
mon,1,RY,4,408,n,
mon,1,RY,4,409,n,
mon,1,RY,4,410,n,
mon,1,RY,4,411,,
mon,1,RY,4,412,,
mon,1,RY,4,413,n,
mon,1,RY,4,414,n,
mon,1,RY,4,415,n,
mon,1,RY,4,416,n,
mon,1,RY,4,417,n,
mon,1,RY,4,418,n,
mon,1,RY,4,419,,
mon,1,RY,4,420,n,
mon,1,RY,4,421,n,
mon,1,RY,4,422,,
mon,1,RY,4,423,,
mon,1,RY,4,424,,
mon,1,RY,4,425,,
mon,1,RY,4,426,,
mon,1,RY,4,427,,
mon,1,RY,4,428,,
mon,1,RY,4,429,,
mon,1,RY,4,430,,
mon,1,RY,4,431,n,
mon,1,RY,4,432,,
mon,1,RY,4,433,,
mon,1,RY,4,434,,
mon,1,RY,4,435,,
mon,1,RY,4,436,,
mon,1,RY,4,437,,
mon,1,RY,4,438,,
mon,1,RY,4,439,,
mon,1,RY,4,440,,
mon,1,RY,4,441,,
mon,1,RY,4,442,,
mon,1,RY,4,443,,
mon,1,RY,4,444,,
mon,1,RY,4,445,,
mon,1,RY,4,446,,
mon,1,RY,4,447,,
mon,1,RY,4,448,,
mon,1,RY,4,449,,
mon,1,RY,4,450,,
mon,1,RY,4,451,,
mon,1,RY,4,452,,
mon,1,RY,4,461,,
mon,1,RY,4,462,,
mon,1,RY,4,463,,
mon,1,RY,4,464,,
mon,1,RY,4,465,,
mon,1,RY,4,466,,
mon,1,RY,4,467,,
mon,1,RY,4,468,,
mon,1,RY,4,469,,
mon,1,RY,4,470,,
mon,1,RY,4,471,,
mon,1,RY,4,472,,
mon,1,RY,4,473,,
mon,1,RY,4,474,,
mon,1,RY,4,475,,
mon,1,RY,4,476,,
mon,1,RY,4,477,,
mon,1,RY,4,478,,
mon,1,RY,4,479,,
mon,1,RY,4,480,,
mon,1,RY,4,481,,
mon,1,RY,4,482,,
mon,1,RY,4,483,,
mon,1,RY,4,484,,
mon,1,RY,4,485,,
mon,1,RY,5,561,,
mon,1,RY,5,562,,
mon,1,RY,5,563,,
mon,1,RY,5,564,,
mon,1,RY,5,565,,
mon,1,RY,5,566,,
mon,1,RY,5,567,,
mon,1,RY,5,568,,
mon,1,RY,5,569,,
mon,1,RY,5,570,,
mon,1,RY,5,571,,
mon,1,RY,5,572,,
mon,1,RY,5,573,,
mon,1,RY,5,574,,
mon,1,RY,5,575,,
mon,1,RY,5,576,,
mon,1,RY,5,577,,
mon,1,RY,5,578,,
mon,1,RY,5,579,,
mon,1,RY,5,580,,
mon,1,RY,5,581,,
mon,1,RY,5,582,,
mon,1,RY,5,583,,
mon,1,RY,5,584,,
mon,1,RY,5,585,,
mon,1,RY,5,586,,
mon,1,H,1,101,n,
mon,1,H,1,102,n,
mon,1,H,1,103,,
mon,1,H,1,104,n,
mon,1,H,1,105,n,
mon,1,H,1,106,n,
mon,1,H,1,107,,
mon,1,H,1,108,,
mon,1,H,1,109,n,
mon,1,H,1,110,n,
mon,1,H,1,111,,
mon,1,H,1,112,n,
mon,1,H,1,113,n,
mon,1,H,1,114,n,
mon,1,H,1,115,,
mon,1,H,2,201,n,
mon,1,H,2,202,n,
mon,1,H,2,203,,
mon,1,H,2,204,n,
mon,1,H,2,205,n,
mon,1,H,2,206,n,
mon,1,H,2,207,n,
mon,1,H,2,208,n,
mon,1,H,2,209,n,
mon,1,H,2,210,,
mon,1,H,2,211,n,
mon,1,H,2,212,n,
mon,1,H,2,213,n,
mon,1,H,2,214,,
mon,1,H,2,215,,
mon,1,H,3,301,n,
mon,1,H,3,302,n,
mon,1,H,3,303,,
mon,1,H,3,304,n,
mon,1,H,3,305,n,
mon,1,H,3,306,n,
mon,1,H,3,307,n,
mon,1,H,3,308,n,
mon,1,H,3,309,y,
mon,1,H,3,310,,
mon,1,H,3,311,n,
mon,1,H,3,312,n,
mon,1,H,3,313,,
mon,1,H,3,314,n,
mon,1,H,3,315,,
mon,1,H,4,401,,
mon,1,H,4,402,,
mon,1,H,4,403,,
mon,1,H,4,404,,
mon,1,H,4,405,,
mon,1,H,4,406,,
mon,1,H,4,407,,
mon,1,H,4,408,,
mon,1,H,4,409,,
mon,1,H,4,410,,
mon,1,H,4,411,,
mon,1,H,4,412,,
mon,1,H,4,413,,
mon,1,H,4,414,,
mon,1,H,4,415,,
mon,1,H,4,416,,
mon,1,H,4,417,,
mon,1,H,4,418,,
mon,1,H,4,419,,
mon,1,H,4,420,,
mon,1,H,4,421,,
mon,1,H,4,422,,
mon,1,H,4,423,,
mon,1,H,4,424,,
mon,1,H,4,425,,
mon,1,H,5,501,,
mon,1,H,5,502,,
mon,1,H,5,503,,
mon,1,H,5,504,,
mon,1,H,5,505,,
mon,1,H,5,506,,
mon,1,H,5,507,,
mon,1,H,5,508,,
mon,1,H,5,509,,
mon,1,H,5,510,,
mon,1,H,5,511,,
mon,1,H,5,512,,
mon,1,H,5,513,,
mon,1,H,5,514,,
mon,1,H,5,515,,
mon,1,H,5,516,,
mon,1,H,5,517,,
mon,1,H,5,518,,
mon,1,H,5,519,,
mon,1,H,5,520,,
mon,1,H,5,521,,
mon,1,H,5,522,,
mon,1,S,1,1,,
mon,1,S,1,2,,
mon,1,S,1,3,,
mon,1,S,1,4,,
mon,1,S,2,21,,
mon,1,S,2,22,n,
mon,1,S,2,23,n,
mon,1,S,2,24,,
mon,1,S,3,30,n,
mon,1,S,3,31,,
mon,1,S,3,32,n,
mon,1,S,3,33,,
mon,1,S,3,34,n,
mon,1,S,4,401,,
mon,1,S,4,402,,
mon,1,S,4,403,,
mon,1,S,4,404,,
mon,1,S,4,405,,
mon,1,S,4,406,,
mon,1,S,4,407,,
mon,1,S,4,408,,
mon,1,S,4,409,,
mon,1,S,4,410,,
mon,1,S,4,411,,
mon,1,S,4,412,,
mon,1,S,4,413,,
mon,1,S,4,414,,
mon,1,S,4,415,,
mon,1,S,4,416,,
mon,1,S,4,417,,
mon,1,S,4,418,,
mon,1,S,4,419,,
mon,1,S,4,420,,
mon,1,S,4,421,,
mon,1,S,4,422,,
mon,1,S,4,423,,
mon,1,S,4,424,,
mon,1,S,4,425,,
mon,1,S,4,426,,
mon,1,S,4,427,,
mon,1,S,4,428,,
mon,1,S,4,429,,
mon,1,S,5,501,,
mon,1,S,5,502,,
mon,1,S,5,503,,
mon,1,S,5,504,,
mon,1,S,5,505,,
mon,1,S,5,506,,
mon,1,S,5,507,,
mon,1,S,5,508,,
mon,1,S,5,509,,
mon,1,S,5,510,,
mon,1,S,5,511,,
mon,1,S,5,512,,
mon,1,S,5,513,,
mon,1,S,5,514,,
mon,1,S,5,515,,
mon,1,S,5,516,,
mon,1,S,5,517,,
mon,1,S,5,518,,
mon,1,S,5,519,,
mon,1,S,5,520,,
mon,1,S,5,521,,
mon,1,S,5,522,,
mon,1,S,5,523,,
mon,1,S,5,524,,
mon,1,S,5,525,,
mon,1,S,5,526,,
mon,1,S,5,527,,
mon,1,S,5,528,,
mon,1,S,5,529,,
mon,1,S,5,530,,
mon,1,K,2,21,,
mon,1,K,2,22,n,
mon,1,K,2,23,n,
mon,1,K,2,24,,
mon,1,K,2,25,n,
mon,1,K,3,31,,
mon,1,K,3,32,y,
mon,1,K,3,33,,
mon,1,K,3,35,y,
mon,1,K,4,41,,
mon,1,K,4,42,y,
mon,1,K,4,43,,
mon,1,K,4,44,,
mon,1,K,4,45,,
mon,1,K,4,46,n,
mon,1,K,4,47,,
mon,1,K,4,48,,
mon,1,K,4,49,,
mon,1,M,1,1,n,
mon,1,M,1,3,,
mon,1,M,1,4,,
mon,1,M,1,5,,
mon,1,M,3,301,,
mon,1,M,3,302,,
mon,1,M,3,303,,
mon,1,M,3,304,,
mon,1,M,3,305,,
mon,1,M,3,306,,
mon,1,M,3,307,,
mon,1,M,3,309,,
mon,1,M,4,401,,
mon,1,F,1,101,,
mon,1,F,1,102,n,
mon,1,F,1,103,,
mon,1,F,1,104,,
mon,1,F,1,105,,
mon,1,F,1,106,,
mon,1,F,1,107,,
mon,1,F,2,201,,
mon,1,F,2,202,,
mon,1,F,2,203,,
mon,1,F,2,204,,
mon,1,F,2,205,,
mon,1,F,2,206,,
mon,1,F,2,207,,
mon,1,F,2,208,,
mon,1,F,2,209,,
mon,1,F,2,210,,
mon,1,F,2,211,,
mon,1,F,2,212,,
mon,1,F,2,213,,
mon,1,F,2,214,,
mon,1,F,2,215,,
mon,1,F,3,301,,
mon,1,F,3,302,,
mon,1,F,3,303,,
mon,1,F,3,304,,
mon,1,F,3,305,,
mon,1,F,3,306,,
mon,1,F,3,307,,
mon,1,F,3,308,,
mon,1,F,3,309,,
mon,1,F,3,310,,
mon,1,F,3,311,,
mon,1,F,3,312,,
mon,1,F,3,313,,
mon,1,F,3,314,,
mon,1,F,3,315,,
mon,1,F,4,401,,
mon,1,F,4,402,,
mon,1,F,4,403,,
mon,1,F,4,404,,
mon,1,F,4,405,,
mon,1,F,4,406,,
mon,1,F,4,407,,
mon,1,F,4,408,,
mon,1,F,4,409,,
mon,1,F,4,410,,
mon,1,F,4,411,,
mon,1,F,4,412,,
mon,1,F,4,413,,
mon,1,F,4,414,,
mon,1,F,5,500,,
mon,1,F,5,501,,
mon,1,F,5,502,,
mon,1,F,5,503,,
mon,1,F,5,504,,
mon,1,F,5,505,,
mon,1,F,5,506,,
mon,1,F,5,507,,
mon,1,F,5,508,,
mon,1,F,5,509,,
mon,1,F,5,510,,
mon,1,F,5,511,,
mon,1,F,5,512,,
mon,1,F,5,513,,
mon,1,F,5,514,,
mon,1,F,5,515,,
mon,1,Z,0,地下1,,
mon,1,Z,0,地下2,,
mon,1,Z,0,地下4,,
mon,1,Z,1,1,n,
mon,1,Z,1,2,n,
mon,1,Z,1,3,n,
mon,1,Z,1,4,n,
mon,1,Z,1,5,,
mon,1,Z,1,6,,
mon,1,Z,2,20,,
mon,1,Z,2,21,,
mon,1,Z,2,24,n,
mon,1,Z,2,25,,
mon,1,Z,2,26,n,
mon,1,Z,2,27,,
mon,1,Z,2,28,n,
mon,1,Z,2,29,,
mon,1,Z,3,30,,
mon,1,Z,3,31,,
mon,1,Z,3,32,,
mon,1,Z,3,33,,
mon,1,Z,3,34,,
mon,1,Z,3,35,n,
mon,1,Z,3,36,n,
mon,1,Z,3,37,,
mon,1,Z,3,38,,
mon,1,Z,4,40,,
mon,1,Z,4,41,,
mon,1,Z,4,42,,
mon,1,Z,4,43,,
mon,1,Z,4,44a,,
mon,1,Z,4,44b,,
mon,1,Z,4,44c,,
mon,1,Z,4,44d,,
mon,1,Z,4,44e,,
mon,1,Z,4,45a,,
mon,1,Z,4,45b,,
mon,1,R,2,201,,
mon,1,R,2,202,,
mon,1,R,2,203,n,
mon,1,R,2,204,,
mon,1,R,2,205,,
mon,1,R,2,206,,
mon,1,R,2,207,,
mon,1,R,2,208,,
mon,1,R,2,209,y,
mon,1,R,2,210,,
mon,1,R,2,211,,
mon,1,R,2,212,n,
mon,1,R,3,301,,
mon,1,R,3,302,n,
mon,1,R,3,303,n,
mon,1,R,3,304,,
mon,1,R,3,305,,
mon,1,R,3,306,,
mon,1,R,3,307,,
mon,1,R,3,308,,
mon,1,R,3,309,,
mon,1,R,3,310,,
mon,1,R,3,311,,
mon,1,R,3,312,,
mon,1,R,3,313,,
mon,1,R,3,314,,
mon,1,R,3,315,,
mon,1,SK,0,地下1,n,
mon,1,SK,0,地下2,,
mon,1,SK,0,地下3,,
mon,1,SK,0,地下4,,
mon,1,SK,0,地下5,,
mon,1,SK,0,地下6,,
mon,1,SK,0,地下7,,
mon,1,SK,0,地下8,,
mon,1,SK,0,地下9,n,
mon,1,SK,0,地下10,,
mon,1,SK,0,地下11,,
mon,1,SK,0,地下12,,
mon,1,SK,1,101,n,
mon,1,SK,1,102,n,
mon,1,SK,1,103,n,
mon,1,SK,1,104,n,
mon,1,SK,1,105,,
mon,1,SK,1,106,n,
mon,1,SK,1,107,,
mon,1,SK,1,108,,
mon,1,SK,1,109,,
mon,1,SK,1,110,,
mon,1,SK,1,111,,
mon,1,SK,1,112,,
mon,1,SK,1,113,n,
mon,1,SK,1,114,,
mon,1,SK,1,115,,
mon,1,SK,1,116,,
mon,1,SK,1,117,,
mon,1,SK,1,118,n,
mon,1,SK,1,119,,
mon,1,SK,1,120,n,
mon,1,SK,1,121,n,
mon,1,SK,1,122,,
mon,1,SK,2,201,,
mon,1,SK,2,202,,
mon,1,SK,2,203,,
mon,1,SK,2,204,,
mon,1,SK,2,205,,
mon,1,SK,2,206,,
mon,1,SK,2,207,,
mon,1,SK,2,208,,
mon,1,SK,2,209,,
mon,1,SK,2,210,,
mon,1,SK,2,211,,
mon,1,SK,2,212,,
